word tf tf_idf
сайт 0.003641 7.8e-05
абитуриент 0.002731 0.00018
кфу 0.003641 0.003703
перейти 0.00091 0.003505
основный 0.000455 0.000752
содержание 0.000455 0.001182
вход 0.001365 4.4e-05
личный 0.000455 7.9e-05
кабинет 0.000455 7.9e-05
ваш 0.00091 0.000557
логин 0.000455 0.00049
пароль 0.00091 0.000182
забыть 0.000455 9.7e-05
ректор 0.001365 0.000422
студент 0.001821 0.00012
выпускник 0.000455 3.5e-05
работник 0.000455 0.000252
работодатель 0.000455 0.000346
инновация 0.000455 0.000228
медиа 0.001821 0.002818
музей 0.000455 0.000335
библиотека 0.000455 0.000252
газета 0.00091 0.000874
казанский 0.001821 0.001799
университет 0.004552 4.9e-05
univer 0.000455 0.000463
tv 0.000455 0.000463
darelfonyn 0.000455 0.00049
русский 0.005462 0.007457
татарин 0.000455 0.001752
english 0.000455 0.000325
español 0.000455 0.00049
français 0.000455 0.002068
deutsche 0.000455 0.002068
türkçe 0.000455 0.002068
العربية 0.000455 0.002068
中文 0.000455 0.000315
горячий 0.00091 0.001874
линия 0.00091 0.001801
гражданин 0.005007 0.000162
рф 0.001365 0.001389
8 0.001821 0.001698
800 0.000455 0.001752
234 0.000455 0.001568
92 0.000455 0.001437
75 0.000455 0.000682
иностранный 0.015476 0.000502
7 0.001365 0.000568
843 0.00091 0.001671
233 0.000455 0.0009
70 0.000455 0.000621
27 0.000455 0.000269
меню 0.00091 0.004136
главное 0.000455 0.000937
приёмный 0.005007 0.000387
комиссия 0.005007 0.002004
регистрация 0.003186 0.000103
общий 0.004552 0.002043
информация 0.004552 9.8e-05
сотрудник 0.00091 0.000182
отдел 0.00091 2e-05
организация 0.002276 0.000283
приём 0.036413 0.01233
часто 0.003641 0.010019
задавать 0.003641 0.011496
вопрос 0.003641 0.0014
нормативный 0.00091 0.000824
документ 0.010014 0.006321
утверждение 0.00091 0.001671
стоимость 0.004552 0.007044
обучение 0.010014 0.000107
контакт 0.004552 0.005049
мероприятие 0.001821 0.001301
событие 0.00091 0.000488
новость 0.00091 0.000182
буклет 0.002276 0.008762
бакалавриат 0.003186 0.001378
\ 0.00091 0.000953
специалитет 0.003186 0.002141
перед 0.003641 0.012543
поступление 0.016841 0.027837
информирование 0.001821 0.008272
правило 0.009103 0.012816
план 0.003641 0.006448
количество 0.001821 0.003602
место 0.003641 3.9e-05
вступительный 0.016386 0.032417
испытание 0.014565 0.016635
минимальный 0.003641 0.01402
балл 0.004096 0.009611
срок 0.002731 0.003966
проведение 0.004552 0.003059
схема 0.00091 0.002364
справочник 0.001365 0.000255
поступать 0.007283 0.020038
медицинский 0.002276 0.001304
осмотр 0.001821 0.00701
график 0.001821 0.004729
день 0.003186 0.000894
открытый 0.003186 0.001032
дверь 0.003186 0.006303
образовательный 0.010014 0.000107
кредит 0.003641 0.007812
процедура 0.003641 0.008972
подача 0.004552 0.011822
расписание 0.008193 0.007
дистанционный 0.004096 8.8e-05
программа 0.009103 9.7e-05
предел 0.00091 0.002364
особый 0.00091 0.001671
квота 0.001821 0.006272
льготник 0.00091 0.004136
лицо 0.002731 0.001415
ограниченный 0.001821 0.00701
возможность 0.001821 0.000879
здоровье 0.001821 0.002486
победитель 0.00091 0.000755
призёр 0.00091 0.002243
олимпиада 0.006827 0.00045
стипендия 0.00091 0.000631
стобалльник 0.00091 0.003505
преимущественный 0.00091 0.003505
право 0.001365 0.000442
зачисление 0.005462 0.011243
учёт 0.001821 0.001906
индивидуальный 0.001821 0.004486
достижение 0.001821 0.0001
целевой 0.001821 0.003113
общежитие 0.002731 0.003966
результат 0.006372 0.002968
список 0.004552 0.002783
приказ 0.004552 0.008667
подать 0.002731 0.006407
заявление 0.002731 0.007093
итог 0.001821 0.00234
архив 0.001821 0.002563
магистратура 0.004552 0.0003
магистриум 0.00091 0.004136
федеральный 0.003186 0.002277
я 0.00091 0.001282
– 0.001365 0.000782
профессионал 0.00091 0.001612
аспирантура 0.002731 5.9e-05
направление 0.002731 0.000966
инструкция 0.002731 0.006729
перечень 0.00091 0.001953
экзамен 0.002731 0.004836
рекомендовать 0.00091 0.003505
рассмотрение 0.001821 0.001747
апелляция 0.001821 0.008272
ординатура 0.001821 0.001799
2022 0.001365 0.001429
образец 0.00091 0.001671
